X1	X2	X3	X4
CD4+ T-cells	Mabbott	Hs.42:PB:T_cell:CD4+:pos-sel:r8	Hs.42:PB:T_cell:CD4+:pos-sel:r8
CD4+ T-cells	Mabbott	Hs.42:PB:T_cell:CD4+:pos-sel:r10	Hs.42:PB:T_cell:CD4+:pos-sel:r10
CD4+ Tcm	Noverstern	CD4+ Central Memory	CD4+ Central Memory
CD4+ Tcm	Noverstern	CD4+ Central Memory	CD4+ Central Memory
CD4+ Tcm	Noverstern	CD4+ Central Memory	CD4+ Central Memory
CD4+ Tcm	Noverstern	CD4+ Central Memory	CD4+ Central Memory
CD4+ Tcm	Noverstern	CD4+ Central Memory	CD4+ Central Memory
CD4+ Tcm	Noverstern	CD4+ Central Memory	CD4+ Central Memory
CD4+ Tcm	Noverstern	CD4+ Central Memory	CD4+ Central Memory
CD4+ Tcm	Mabbott	Hs.12:PB:T_cell:CD4+_central_memory:r5	Hs.12:PB:T_cell:CD4+_central_memory:r5
CD4+ Tcm	Mabbott	Hs.12:PB:T_cell:CD4+_central_memory:r1	Hs.12:PB:T_cell:CD4+_central_memory:r1
CD4+ Tcm	Mabbott	Hs.12:PB:T_cell:CD4+_central_memory:r2	Hs.12:PB:T_cell:CD4+_central_memory:r2
CD4+ Tcm	Mabbott	Hs.12:PB:T_cell:CD4+_central_memory:r3	Hs.12:PB:T_cell:CD4+_central_memory:r3
CD4+ Tcm	Mabbott	Hs.12:PB:T_cell:CD4+_central_memory:r4	Hs.12:PB:T_cell:CD4+_central_memory:r4
CD4+ Tem	Noverstern	CD4+ Effector Memory	CD4+ Effector Memory
CD4+ Tem	Noverstern	CD4+ Effector Memory	CD4+ Effector Memory
CD4+ Tem	Noverstern	CD4+ Effector Memory	CD4+ Effector Memory
CD4+ Tem	Noverstern	CD4+ Effector Memory	CD4+ Effector Memory
CD4+ Tem	Noverstern	CD4+ Effector Memory	CD4+ Effector Memory
CD4+ Tem	Noverstern	CD4+ Effector Memory	CD4+ Effector Memory
CD4+ Tem	Noverstern	CD4+ Effector Memory	CD4+ Effector Memory
CD4+ Tem	Mabbott	Hs.12:PB:T_cell:CD4+_effector_memory:r1	Hs.12:PB:T_cell:CD4+_effector_memory:r1
CD4+ Tem	Mabbott	Hs.12:PB:T_cell:CD4+_effector_memory:r2	Hs.12:PB:T_cell:CD4+_effector_memory:r2
CD4+ Tem	Mabbott	Hs.12:PB:T_cell:CD4+_effector_memory:r3	Hs.12:PB:T_cell:CD4+_effector_memory:r3
CD4+ Tem	Mabbott	Hs.12:PB:T_cell:CD4+_effector_memory:r4	Hs.12:PB:T_cell:CD4+_effector_memory:r4
CD8+ naive T-cells	Noverstern	Naive CD8+ T-cell	Naive CD8+ T-cell
CD8+ naive T-cells	Noverstern	Naive CD8+ T-cell	Naive CD8+ T-cell
CD8+ naive T-cells	Noverstern	Naive CD8+ T-cell	Naive CD8+ T-cell
CD8+ naive T-cells	Noverstern	Naive CD8+ T-cell	Naive CD8+ T-cell
CD8+ naive T-cells	Noverstern	Naive CD8+ T-cell	Naive CD8+ T-cell
CD8+ naive T-cells	Noverstern	Naive CD8+ T-cell	Naive CD8+ T-cell
CD8+ naive T-cells	Noverstern	Naive CD8+ T-cell	Naive CD8+ T-cell
CD8+ T-cells	Mabbott	Hs.42:PB:T_cell:CD8+:pos-sel:r7	Hs.42:PB:T_cell:CD8+:pos-sel:r7
CD8+ T-cells	Mabbott	Hs.42:PB:T_cell:CD8+:pos-sel:r8	Hs.42:PB:T_cell:CD8+:pos-sel:r8
CD8+ T-cells	Mabbott	Hs.42:PB:T_cell:CD8+:pos-sel:r9	Hs.42:PB:T_cell:CD8+:pos-sel:r9
CD8+ T-cells	Mabbott	Hs.42:PB:T_cell:CD8+:pos-sel:r10	Hs.42:PB:T_cell:CD8+:pos-sel:r10
CD8+ T-cells	Mabbott	Hs.42:PB:T_cell:CD8+:pos-sel:r11	Hs.42:PB:T_cell:CD8+:pos-sel:r11
CD8+ T-cells	Mabbott	Hs.115:T_cell:CD8+:r1	Hs.115:T_cell:CD8+:r1
CD8+ T-cells	Mabbott	Hs.115:T_cell:CD8+:r3	Hs.115:T_cell:CD8+:r3
CD8+ T-cells	Mabbott	Hs.115:T_cell:CD8+:r5	Hs.115:T_cell:CD8+:r5
CD8+ T-cells	Mabbott	Hs.115:T_cell:CD8+:r6	Hs.115:T_cell:CD8+:r6
CD8+ T-cells	Mabbott	Hs.115:T_cell:CD8+:r7	Hs.115:T_cell:CD8+:r7
CD8+ T-cells	Mabbott	Hs.115:T_cell:CD8+:r7	Hs.115:T_cell:CD8+:r7
CD8+ T-cells	Mabbott	Hs.115:T_cell:CD8+:r9	Hs.115:T_cell:CD8+:r9
cDC	Blueprint	conventional dendritic cell"	conventional dendritic cell
cDC	Noverstern	Myeloid Dendritic Cell	Myeloid Dendritic Cell
cDC	Noverstern	Myeloid Dendritic Cell	Myeloid Dendritic Cell
