X1	X2	X3	X4
Macrophages	Abbas	Monocyte-Day7-11 [HG-U133A]	Monocyte-Day7-11 [HG-U133A]
Macrophages	Abbas	Monocyte-Day7-12 [HG-U133A]	Monocyte-Day7-12 [HG-U133A]
Macrophages	Blueprint	macrophage"	macrophage
Macrophages M1	Mabbott	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r1	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r1
Macrophages M1	Mabbott	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r5	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r5
Macrophages M1	Mabbott	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r2	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r2
Macrophages M1	Mabbott	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r3	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r3
Macrophages M1	Mabbott	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r6	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r6
Macrophages M1	Mabbott	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r4	Hs.21:Macrophage:monocyte-derived:IFNg_24h:r4
Macrophages M1	Mabbott	Hs.20:Macrophage:monocyte-derived:M-CSF:r1	Hs.20:Macrophage:monocyte-derived:M-CSF:r1
Macrophages M1	Mabbott	Hs.20:Macrophage:monocyte-derived:M-CSF:r2	Hs.20:Macrophage:monocyte-derived:M-CSF:r2
Macrophages M1	Mabbott	Hs.20:Macrophage:monocyte-derived:M-CSF/IFNg:r1	Hs.20:Macrophage:monocyte-derived:M-CSF/IFNg:r1
Macrophages M1	Mabbott	Hs.20:Macrophage:monocyte-derived:M-CSF/IFNg:r2	Hs.20:Macrophage:monocyte-derived:M-CSF/IFNg:r2
Macrophages M2	Blueprint	alternatively activated macrophage"	alternatively activated macrophage
Macrophages M2	Mabbott	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r1	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r1
Macrophages M2	Mabbott	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r2	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r2
Macrophages M2	Mabbott	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r3	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r3
Macrophages M2	Mabbott	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r4	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r4
Macrophages M2	Mabbott	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r5	Hs.104:Macrophage:monocyte-derived:IL-4/TGFb_24h:r5
Megakaryocytes	Noverstern	Megakaryocyte	Megakaryocyte
Megakaryocytes	Noverstern	Megakaryocyte	Megakaryocyte
Megakaryocytes	Noverstern	Megakaryocyte	Megakaryocyte
Megakaryocytes	Noverstern	Megakaryocyte	Megakaryocyte
Megakaryocytes	Noverstern	Megakaryocyte	Megakaryocyte
Megakaryocytes	Noverstern	Megakaryocyte	Megakaryocyte
Megakaryocytes	Noverstern	Megakaryocyte	Megakaryocyte
Megakaryocytes	Blueprint	CD34-	CD34-
Megakaryocytes	Blueprint	CD34-negative Melanocytes,Encode,"melanocyte of skin"	CD34-negative Melanocytes,Encode,melanocyte of skin
Memory B-cells	Blueprint	memory B cell"	memory B cell
Memory B-cells	Abbas	Bcell-Memory_IgG_IgA-1 [HG-U133A]	Bcell-Memory_IgG_IgA-1 [HG-U133A]
Memory B-cells	Abbas	Bcell-Memory_IgG_IgA-2 [HG-U133A]	Bcell-Memory_IgG_IgA-2 [HG-U133A]
Memory B-cells	Abbas	Bcell-Memory_IgG_IgA-3 [HG-U133A]	Bcell-Memory_IgG_IgA-3 [HG-U133A]
Memory B-cells	Abbas	Bcell-Memory_IgG_IgA-4 [HG-U133A]	Bcell-Memory_IgG_IgA-4 [HG-U133A]
Memory B-cells	Abbas	Bcell-Memory_IgM-1 [HG-U133A]	Bcell-Memory_IgM-1 [HG-U133A]
Memory B-cells	Abbas	Bcell-Memory_IgM-2 [HG-U133A]	Bcell-Memory_IgM-2 [HG-U133A]
Memory B-cells	Abbas	Bcell-Memory_IgM-3 [HG-U133A]	Bcell-Memory_IgM-3 [HG-U133A]
Memory B-cells	Abbas	Bcell-Memory_IgM-4 [HG-U133A]	Bcell-Memory_IgM-4 [HG-U133A]
Memory B-cells	Mabbott	Hs.25:tonsil:B_cell:Memory:r28	Hs.25:tonsil:B_cell:Memory:r28
Memory B-cells	Mabbott	Hs.25:tonsil:B_cell:Memory:r36	Hs.25:tonsil:B_cell:Memory:r36
Memory B-cells	Mabbott	Hs.25:tonsil:B_cell:Memory:r38	Hs.25:tonsil:B_cell:Memory:r38
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Noverstern	Megakaryocyte/ erythroid progenitor	Megakaryocyte/ erythroid progenitor
MEP	Blueprint	megakaryocyte-erythroid progenitor cell	megakaryocyte-erythroid progenitor cell
Mesangial cells	Encode	mesangial cell"	mesangial cell
Monocytes	Blueprint	CD14-positive Monocytes,Abbas,Monocyte-Day0-1 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-2 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-3 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-4 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-5 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-6 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-7 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-8 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-9 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-10 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-11 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-12 [HG-U133A] Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r1 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r2 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r3 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r4 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r5 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r6 Monocytes,Mabbott,Hs.36:Monocyte:CD14+:r1 Monocytes,Mabbott,Hs.36:Monocyte:CD14+:r2 Monocytes,Mabbott,Hs.36:Monocyte:CD14+:r3 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r1 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r2 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r3 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r4 Monocytes,Mabbott,Hs.54:Monocyte:CD16_+:r1 Monocytes,Mabbott,Hs.54:Monocyte:CD16_+:r2 Monocytes,Mabbott,Hs.54:Monocyte:CD16_+:r3 Monocytes,Mabbott,Hs.61:Monocyte:CD16-:r1 Monocytes,Mabbott,Hs.61:Monocyte:CD16-:r2 Monocytes,Mabbott,Hs.61:Monocyte:CD16-:r3 Monocytes,Mabbott,Hs.61:Monocyte:CD16_+:r1 Monocytes,Mabbott,Hs.61:Monocyte:CD16_+:r2 Monocytes,Mabbott,Hs.61:Monocyte:CD16_+:r3 Monocytes,Mabbott,Hs.90:Monocyte:r303 Monocytes,Mabbott,Hs.90:Monocyte:r307 Monocytes,Mabbott,Hs.90:Monocyte:r309 Monocytes,Mabbott,Hs.90:Monocyte:r311 Monocytes,Mabbott,Hs.90:Monocyte:r313 Monocytes,Mabbott,Hs.90:Monocyte:r317 MPP,blueprint,hematopoietic multipotent progenitor cell MPP,Fantom5,Multipot. Cord Blood Unrestrict. Somatic stem cell MPP,Mabbott,Hs.63:fetal_blood:BM_&Prog.:MSC:r1 MPP,Mabbott,Hs.63:fetal_blood:BM_&Prog.:MSC:r2 MPP,Mabbott,Hs.63:fetal_blood:BM_&Prog.:MSC:r3 MPP,Mabbott,Hs.63:fetal_bm:BM_&Prog.:MSC:r1 MPP,Mabbott,Hs.63:fetal_bm:BM_&Prog.:MSC:r2 MPP,Mabbott,Hs.63:fetal_bm:BM_&Prog.:MSC:r3 MPP,Mabbott,Hs.63:fetal_liver:BM_&Prog.:MSC:r1 MPP,Mabbott,Hs.63:fetal_liver:BM_&Prog.:MSC:r2 MPP,Mabbott,Hs.63:fetal_liver:BM_&Prog.:MSC:r3 mv Endothelial cells,Fantom5,Endothelial Microvascular mv Endothelial cells,Encode,"bladder microvascular endothelial cell"	CD14-positive Monocytes,Abbas,Monocyte-Day0-1 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-2 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-3 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-4 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-5 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-6 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-7 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-8 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-9 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-10 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-11 [HG-U133A] Monocytes,Abbas,Monocyte-Day0-12 [HG-U133A] Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Noverstern,Monocyte Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r1 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r2 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r3 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r4 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r5 Monocytes,Mabbott,Hs.115:Monocyte:CD14+:r6 Monocytes,Mabbott,Hs.36:Monocyte:CD14+:r1 Monocytes,Mabbott,Hs.36:Monocyte:CD14+:r2 Monocytes,Mabbott,Hs.36:Monocyte:CD14+:r3 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r1 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r2 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r3 Monocytes,Mabbott,Hs.54:Monocyte:CD16-:r4 Monocytes,Mabbott,Hs.54:Monocyte:CD16_+:r1 Monocytes,Mabbott,Hs.54:Monocyte:CD16_+:r2 Monocytes,Mabbott,Hs.54:Monocyte:CD16_+:r3 Monocytes,Mabbott,Hs.61:Monocyte:CD16-:r1 Monocytes,Mabbott,Hs.61:Monocyte:CD16-:r2 Monocytes,Mabbott,Hs.61:Monocyte:CD16-:r3 Monocytes,Mabbott,Hs.61:Monocyte:CD16_+:r1 Monocytes,Mabbott,Hs.61:Monocyte:CD16_+:r2 Monocytes,Mabbott,Hs.61:Monocyte:CD16_+:r3 Monocytes,Mabbott,Hs.90:Monocyte:r303 Monocytes,Mabbott,Hs.90:Monocyte:r307 Monocytes,Mabbott,Hs.90:Monocyte:r309 Monocytes,Mabbott,Hs.90:Monocyte:r311 Monocytes,Mabbott,Hs.90:Monocyte:r313 Monocytes,Mabbott,Hs.90:Monocyte:r317 MPP,blueprint,hematopoietic multipotent progenitor cell MPP,Fantom5,Multipot. Cord Blood Unrestrict. Somatic stem cell MPP,Mabbott,Hs.63:fetal_blood:BM_&Prog.:MSC:r1 MPP,Mabbott,Hs.63:fetal_blood:BM_&Prog.:MSC:r2 MPP,Mabbott,Hs.63:fetal_blood:BM_&Prog.:MSC:r3 MPP,Mabbott,Hs.63:fetal_bm:BM_&Prog.:MSC:r1 MPP,Mabbott,Hs.63:fetal_bm:BM_&Prog.:MSC:r2 MPP,Mabbott,Hs.63:fetal_bm:BM_&Prog.:MSC:r3 MPP,Mabbott,Hs.63:fetal_liver:BM_&Prog.:MSC:r1 MPP,Mabbott,Hs.63:fetal_liver:BM_&Prog.:MSC:r2 MPP,Mabbott,Hs.63:fetal_liver:BM_&Prog.:MSC:r3 mv Endothelial cells,Fantom5,Endothelial Microvascular mv Endothelial cells,Encode,bladder microvascular endothelial cell
mv Endothelial cells	Encode	dermis microvascular lymphatic vessel endothelial cell"	dermis microvascular lymphatic vessel endothelial cell
mv Endothelial cells	Encode	endometrial microvascular endothelial cells"	endometrial microvascular endothelial cells
mv Endothelial cells	Encode	mammary microvascular endothelial cell"	mammary microvascular endothelial cell
Myocytes	Encode	skeletal muscle myoblast"	skeletal muscle myoblast
Myocytes	Encode	regular cardiac myocyte"	regular cardiac myocyte
naive B-cells	Abbas	Bcell-naïve-1 [HG-U133A]	Bcell-naïve-1 [HG-U133A]
naive B-cells	Abbas	Bcell-naïve-2 [HG-U133A]	Bcell-naïve-2 [HG-U133A]
naive B-cells	Abbas	Bcell-naïve-3 [HG-U133A]	Bcell-naïve-3 [HG-U133A]
naive B-cells	Abbas	Bcell-naïve-4 [HG-U133A]	Bcell-naïve-4 [HG-U133A]
naive B-cells	Abbas	Bcell-naïve-5 [HG-U133A]	Bcell-naïve-5 [HG-U133A]
naive B-cells	Abbas	Bcell-naïve-6 [HG-U133A]	Bcell-naïve-6 [HG-U133A]
naive B-cells	Abbas	Bcell-naïve-7 [HG-U133A]	Bcell-naïve-7 [HG-U133A]
naive B-cells	Noverstern	Naïve B-cells	Naïve B-cells
naive B-cells	Noverstern	Naïve B-cells	Naïve B-cells
naive B-cells	Noverstern	Naïve B-cells	Naïve B-cells
naive B-cells	Noverstern	Naïve B-cells	Naïve B-cells
naive B-cells	Noverstern	Naïve B-cells	Naïve B-cells
Neutrophils	Noverstern	Granulocyte (Neutrophil)	Granulocyte (Neutrophil)
Neutrophils	Noverstern	Granulocyte (Neutrophil)	Granulocyte (Neutrophil)
Neutrophils	Noverstern	Granulocyte (Neutrophil)	Granulocyte (Neutrophil)
Neutrophils	Noverstern	Granulocyte (Neutrophil)	Granulocyte (Neutrophil)
Neutrophils	blueprint	Neutrophil-Resting-1 [HG-U133A]	Neutrophil-Resting-1 [HG-U133A]
Neutrophils	blueprint	Neutrophil-Resting-2 [HG-U133A]	Neutrophil-Resting-2 [HG-U133A]
Neutrophils	blueprint	Neutrophil-Resting-3 [HG-U133A]	Neutrophil-Resting-3 [HG-U133A]
Neutrophils	blueprint	Neutrophil-Resting-4 [HG-U133A]	Neutrophil-Resting-4 [HG-U133A]
Neutrophils	blueprint	Neutrophil-Resting-5 [HG-U133A]	Neutrophil-Resting-5 [HG-U133A]
Neutrophils	Mabbott	Hs.114:Neutrophil:CD16+:	Hs.114:Neutrophil:CD16+:
Neutrophils	Mabbott	Hs.114:Neutrophil:CD16+:_1	Hs.114:Neutrophil:CD16+:_1
Neutrophils	Mabbott	Hs.114:Neutrophil:CD16+:_2	Hs.114:Neutrophil:CD16+:_2
Neutrophils	Mabbott	Hs.39:PB:Neutrophils:cntrl_30min:	Hs.39:PB:Neutrophils:cntrl_30min:
Neutrophils	Mabbott	Hs.39:PB:Neutrophils:inflam_30min:	Hs.39:PB:Neutrophils:inflam_30min:
Neutrophils	Mabbott	Hs.39:PB:Neutrophils:inflam+CGS21680_30min:	Hs.39:PB:Neutrophils:inflam+CGS21680_30min:
Neutrophils	Mabbott	Hs.39:PB:Neutrophils:inflam+PGE2_30min:	Hs.39:PB:Neutrophils:inflam+PGE2_30min:
Neutrophils	Mabbott	Hs.39:PB:Neutrophils:inflam+RO20-1724+forskolin_30min:	Hs.39:PB:Neutrophils:inflam+RO20-1724+forskolin_30min:
Neutrophils	Mabbott	Hs.62:PB:Neutrophils:cntrl_1h:r1	Hs.62:PB:Neutrophils:cntrl_1h:r1
Neutrophils	Mabbott	Hs.62:PB:Neutrophils:cntrl_1h:r2	Hs.62:PB:Neutrophils:cntrl_1h:r2
Neutrophils	Mabbott	Hs.62:PB:Neutrophils:uropathogenic_E._coli_UTI89_1h:r2	Hs.62:PB:Neutrophils:uropathogenic_E._coli_UTI89_1h:r2
Neutrophils	Mabbott	Hs.62:PB:Neutrophils:commensal_E._coli_MG1655_1h:r1	Hs.62:PB:Neutrophils:commensal_E._coli_MG1655_1h:r1
Neutrophils	Mabbott	Hs.62:PB:Neutrophils:commensal_E._coli_MG1655_1h:r2	Hs.62:PB:Neutrophils:commensal_E._coli_MG1655_1h:r2
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:LPS_16h:r1	Hs.77:PB:Neutrophils:LPS_16h:r1
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:LPS_16h:r2	Hs.77:PB:Neutrophils:LPS_16h:r2
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:LPS_16h:r3	Hs.77:PB:Neutrophils:LPS_16h:r3
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:LPS_16h:r4	Hs.77:PB:Neutrophils:LPS_16h:r4
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r1	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r1
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r2	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r2
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r3	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r3
Neutrophils	Mabbott	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r4	Hs.77:PB:Neutrophils:GM-CSF_IFNg_16h:r4
NK cells	Noverstern	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56- CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56- CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56- CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16+ CD3-	Mature NK cell_CD56- CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56+ CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56+ CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56+ CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56+ CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56+ CD16+ CD3-	Mature NK cell_CD56+ CD16+ CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16- CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16- CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16- CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16- CD3-
NK cells	Noverstern	Mature NK cell_CD56- CD16- CD3-	Mature NK cell_CD56- CD16- CD3-
NK cells	Mabbott	Hs.106:PB:NK_cell:cntrl:	Hs.106:PB:NK_cell:cntrl:
NK cells	Mabbott	Hs.106:PB:NK_cell:IL2-2h:	Hs.106:PB:NK_cell:IL2-2h:
NK cells	Mabbott	Hs.106:PB:NK_cell:IL2-8h:	Hs.106:PB:NK_cell:IL2-8h:
NK cells	Mabbott	Hs.106:PB:NK_cell:IL2-24h:	Hs.106:PB:NK_cell:IL2-24h:
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56hiCD62L+:r1	Hs.74:PB:NK_cell:CD56hiCD62L+:r1
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56hiCD62L+:r2	Hs.74:PB:NK_cell:CD56hiCD62L+:r2
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56hiCD62L+:r3	Hs.74:PB:NK_cell:CD56hiCD62L+:r3
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56hiCD62L+:r4	Hs.74:PB:NK_cell:CD56hiCD62L+:r4
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56hiCD62L+:r5	Hs.74:PB:NK_cell:CD56hiCD62L+:r5
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56hiCD62L+:r6	Hs.74:PB:NK_cell:CD56hiCD62L+:r6
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56loCD62L-:r1	Hs.74:PB:NK_cell:CD56loCD62L-:r1
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56loCD62L-:r2	Hs.74:PB:NK_cell:CD56loCD62L-:r2
NK cells	Mabbott	Hs.74:PB:NK_cell:CD56loCD62L-:r3	Hs.74:PB:NK_cell:CD56loCD62L-:r3
NKT	Noverstern	NKT	NKT
NKT	Noverstern	NKT	NKT
NKT	Noverstern	NKT	NKT
NKT	Noverstern	NKT	NKT
Osteoblast	Mabbott	Hs.109:iliac_MSC:Osteoblasts:r1	Hs.109:iliac_MSC:Osteoblasts:r1
Osteoblast	Mabbott	Hs.109:iliac_MSC:Osteoblasts:r2	Hs.109:iliac_MSC:Osteoblasts:r2
Osteoblast	Mabbott	Hs.109:iliac_MSC:Osteoblasts:r3	Hs.109:iliac_MSC:Osteoblasts:r3
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:cntrl_2h:r1	Hs.5:trabecular_bone:Osteoblasts:cntrl_2h:r1
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:cntrl_2h:r2	Hs.5:trabecular_bone:Osteoblasts:cntrl_2h:r2
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:cntrl_2h:r3	Hs.5:trabecular_bone:Osteoblasts:cntrl_2h:r3
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:BMP2_2h:r1	Hs.5:trabecular_bone:Osteoblasts:BMP2_2h:r1
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:BMP2_2h:r2	Hs.5:trabecular_bone:Osteoblasts:BMP2_2h:r2
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:BMP2_2h:r3	Hs.5:trabecular_bone:Osteoblasts:BMP2_2h:r3
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:BMP2_24h:r2	Hs.5:trabecular_bone:Osteoblasts:BMP2_24h:r2
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:cntrl_24h:r1	Hs.5:trabecular_bone:Osteoblasts:cntrl_24h:r1
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:cntrl_24h:r2	Hs.5:trabecular_bone:Osteoblasts:cntrl_24h:r2
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:cntrl_24h:r3	Hs.5:trabecular_bone:Osteoblasts:cntrl_24h:r3
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:BMP2_24h:r1	Hs.5:trabecular_bone:Osteoblasts:BMP2_24h:r1
Osteoblast	Mabbott	Hs.5:trabecular_bone:Osteoblasts:BMP2_24h:r3	Hs.5:trabecular_bone:Osteoblasts:BMP2_24h:r3
pDC	Noverstern	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell
pDC	Noverstern	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell
pDC	Noverstern	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell
pDC	Noverstern	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell
pDC	Noverstern	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell
pDC	Mabbott	Hs.2:tonsil:DC:plasmacytoid:r1	Hs.2:tonsil:DC:plasmacytoid:r1
pDC	Mabbott	Hs.2:tonsil:DC:plasmacytoid:r2	Hs.2:tonsil:DC:plasmacytoid:r2
pDC	Mabbott	Hs.2:tonsil:DC:plasmacytoid:r3	Hs.2:tonsil:DC:plasmacytoid:r3
pDC	Mabbott	Hs.2:PB:DC:plasmacytoid:r1	Hs.2:PB:DC:plasmacytoid:r1
pDC	Mabbott	Hs.2:PB:DC:plasmacytoid:r2	Hs.2:PB:DC:plasmacytoid:r2
pDC	Mabbott	Hs.2:PB:DC:plasmacytoid:r3	Hs.2:PB:DC:plasmacytoid:r3
Pericytes	Encode	placental pericyte"	placental pericyte
Plasma cells	Abbas	PlasmaCell-FromPBMC-1 [HG-U133A]	PlasmaCell-FromPBMC-1 [HG-U133A]
Plasma cells	Abbas	PlasmaCell-FromPBMC-2 [HG-U133A]	PlasmaCell-FromPBMC-2 [HG-U133A]
Plasma cells	Abbas	PlasmaCell-FromPBMC-3 [HG-U133A]	PlasmaCell-FromPBMC-3 [HG-U133A]
Plasma cells	Abbas	PlasmaCell-FromBoneMarrow-1 [HG-U133A]	PlasmaCell-FromBoneMarrow-1 [HG-U133A]
Plasma cells	Abbas	PlasmaCell-FromBoneMarrow-2 [HG-U133A]	PlasmaCell-FromBoneMarrow-2 [HG-U133A]
Plasma cells	Abbas	PlasmaCell-FromBoneMarrow-3 [HG-U133A]	PlasmaCell-FromBoneMarrow-3 [HG-U133A]
Plasma cells	Abbas	PlasmaCell-FromBoneMarrow-4 [HG-U133A]	PlasmaCell-FromBoneMarrow-4 [HG-U133A]
Plasma cells	Mabbott	Hs.25:tonsil:B_cell:Plasma_cell:r30	Hs.25:tonsil:B_cell:Plasma_cell:r30
Plasma cells	Mabbott	Hs.25:tonsil:B_cell:Plasma_cell:r33	Hs.25:tonsil:B_cell:Plasma_cell:r33
Plasma cells	Mabbott	Hs.25:tonsil:B_cell:Plasma_cell:r44	Hs.25:tonsil:B_cell:Plasma_cell:r44
Platelets	Mabbott	Hs.18:Platelets_&_reticulocytes:platelet:r1	Hs.18:Platelets_&_reticulocytes:platelet:r1
Platelets	Mabbott	Hs.18:Platelets_&_reticulocytes:platelet:r2	Hs.18:Platelets_&_reticulocytes:platelet:r2
Platelets	Mabbott	Hs.18:Platelets_&_reticulocytes:platelet:r7	Hs.18:Platelets_&_reticulocytes:platelet:r7
Platelets	Mabbott	Hs.18:Platelets_&_reticulocytes:platelet:r8	Hs.18:Platelets_&_reticulocytes:platelet:r8
Platelets	Mabbott	Hs.18:Platelets_&_reticulocytes:platelet:r10	Hs.18:Platelets_&_reticulocytes:platelet:r10
Preadipocytes	Encode	subcutaneous preadipocyte"	subcutaneous preadipocyte
pro B-cells	Noverstern	Pro B-cell	Pro B-cell
pro B-cells	Noverstern	Pro B-cell	Pro B-cell
pro B-cells	Noverstern	Pro B-cell	Pro B-cell
pro B-cells	Noverstern	Pro B-cell	Pro B-cell
pro B-cells	Noverstern	Pro B-cell	Pro B-cell
pro B-cells	Mabbott	Hs.67:BM_&Prog.:Pro-B_cell_CD34+:r1	Hs.67:BM_&Prog.:Pro-B_cell_CD34+:r1
pro B-cells	Mabbott	Hs.67:BM_&Prog.:Pro-B_cell_CD34+:r2	Hs.67:BM_&Prog.:Pro-B_cell_CD34+:r2
